Y
1.472
1.802
1.548
1.39
2.141
3.541
3.898
2.699
2.152
1.325
3.647
2.476
3.164
3.257
0.869
1.994
2.573
3.313
3.478
3.426
3.216
0.48
3.495
1.518
4.245
3.172
2.895
4.004
2.074
2.791
3.233
3.099
0.72
2.54
2.146
3.357
0.649
1.706
1.278
2.712
2.059
3.956
3.215
3.048
2.43
2.377
1.62
4.268
3.583
3.595
2.801
2.712
2.507
2.965
3.041
2.799
3.169
1.528
3.563
2.389
1.537
2.877
2.361
2.433
3.256
3.746
1.848
1.135
3.762
3.235
2.887
3.719
2.321
1.212
3.917
2.352
2.42
1.766
2.2
2.786
1.859
1.139
3.296
1.791
3.073
1.95
1.632
1.561
3.318
1.781
2.563
1.564
0.94
2.835
2.693
2.723
2.37
4.032
3.474
2.224
2.972
1.654
3.485
3.49
1.158
1.394
2.509
2.964
1.535
3.064
1.508
3.416
3.814
2.949
2.452
2.957
1.428
2.532
3.089
0.937
3.429
1.061
1.988
1.247
2.784
3.706
1.294
1.714
2.581
3.512
1.757
2.193
2.659
1.366
2.979
1.996
1.948
1.779
2.343
3.24
3.126
3.414
2.398
2.423
1.614
2.07
3.28
3.036
0.332
2.702
3.75
2.146
2.766
3.421
1.571
2.844
2.129
1.861
1.688
1.275
4.522
2.402
3.326
1.09
0.433
2.633
2.517
2.227
0.68
0.94
2.412
1.907
1.881
2.04
2.586
4.199
1.791
1.758
2.053
1.684
2.699
2.131
3.035
3.035
3.631
2.44
2.701
2.733
3.164
2.831
3.205
2.959
4.004
2.125
2.643
3.06
2.378
2.726
2.487
2.602
3.084
0.254
2.788
2.803
0.531
4.495
2.689
1.773
2.972
2.809
2.087
1.929
2.911
2.868
1.1
2.706
2.925
4.268
3.562
1.95
3.523
3.116
1.697
1.669
2.702
3.793
4.54
2.243
3.392
2.83
2.964
3.348
2.019
3.223
2.58
2.175
1.759
3.405
1.791
3.371
4.02
3.454
2.816
2.868
2.217
1.14
3.102
3.384
1.834
1.683
1.707
2.781
3.684
1.902
3.248
2.49
2.663
2.321
2.399
3.071
4.732
2.034
1.381
2.937
1.189
1.024
3.382
1.501
3.674
3.082
2.592
2.766
2.196
3.85
4.312
4.479
2.634
4.23
2.84
0.94
1.83
0.931
1.694
3.424
4.19
3.288
1.412
3.543
3.993
4.603
1.723
4.108
1.541
1.571
1.912
2.878
3.107
2.059
3.017
1.468
2.481
1.414
3.136
2.744
3.712
0.636
1.819
1.775
4.323
1.794
2.672
2.327
1.952
3.336
1.715
1.624
2.523
2.761
1.567
3.79
2.675
3.163
2.508
3.2
2.753
2.723
2.403
2.048
2.909
2.857
1.503
1.961
2.459
2.634
2.219
2.501
0.667
2.305
3.01
1.84
2.176
2.796
0.856
1.851
0.777
2.9
3.004
1.519
3.749
2.368
4.191
1.788
1.854
3.433
3.594
0.924
1.744
2.946
3.069
2.073
3.182
3.266
2.924
3.288
2.132
2.052
1.498
2.469
1.52
1.459
3.686
3.615
1.65
3.037
2.71
1.953
2.278
2.343
4.673
1.683
0.601
2.567
2.275
1.981
2.553
4.502
2.107
1.557
2.991
3.791
0.089
3.787
3.674
0.928
3.249
1.088
3.714
2.742
2.593
2.691
2.353
3.095
1.366
2.676
1.718
4.128
1.274
3.002
3.058
2.937
2.148
3.134
2.256
4.292
2.791
4.509
1.8
1.122
3.372
2.597
2.06
1.593
3.264
2.889
2.539
3.492
2.446
0.619
3.349
1.65
3.995
3.292
2.529
3.45
3.867
2.857
3.261
2.042
2.943
2.323
3.082
3.714
2.146
3.503
1.697
3.676
4.031
3.031
2.724
0.907
4.678
1.197
1.999
3.134
2.978
3.039
1.611
2.054
2.495
1.839
3.009
3.362
1.726
2.364
3.229
1.322
1.69
2.252
3.164
2.087
3.374
2.958
2.411
1.525
3.052
1.861
3.141
2.814
1.646
2.544
2.084
4.609
1.778
1.061
2.599
1.584
1.4
1.875
3.835
2.165
2.988
3.166
1.618
2.284
3.499
0.838
2.246
2.025
2.083
2.385
4.255
2.172
1.425
3.535
2.779
2.905
2.039
1.967
3.528
2.433
1.817
2.756
1.997
1.514
3.514
2.799
2.599
2.708
3.331
2.263
3.383
2.901
2.156
2.584
2.74
3.353
0.636
2.901
2.991
2.976
1.327
2.435
2.1
2.701
3.424
1.354
3.754
3.273
2.92
2.081
1.81
3.764
3.755
2.02
3.197
2.125
1.914
2.706
2.168
0.881
2.943
2.376
0.406
3.172
1.787
1.825
2.775
2.877
3.546
2.895
2.41
2.725
2.78
1.814
3.017
3.398
2.676
3.88
2.038
3.359
1.428
2.348
3.61
2.626
3.258
2.499
3.814
2.575
1.77
2.682
2.969
3.345
0.935
1.931
3.219
2.465
2.65
2.195
2.206
2.693
1.027
4.935
3.431
3.101
2.13
2.991
1.815
1.864
3.723
1.498
2.522
2.618
4.261
3.732
4.581
1.119
3.142
3.931
3.583
1.238
1.304
2.154
1.54
3.715
2.648
3.461
2.562
1.906
2.021
2.386
1.182
2.413
0.956
5.018
2.812
1.654
2.374
3.084
3.729
2.94
0.717
3.914
